"";"Experimentateur";"Pédagogie";"Classe";"Type.de.classe";"Sexe..F.ou.M.";"Langues";"Lateralite";"Date.naissance";"Date.passation.jetons";"Age.réel.jetons";"age";"Classe.d.age";"T1.Réponse";"T21.TOTAL";"T22.TOTAL";"T23.TOTAL";"T31TOTAL";"T32.TOTAL";"T41a.TOTAL";"T41b.TOTAL";"T41cTOTAL";"T41d.TOTAL";"T42a.TOTAL";"T42b.TOTAL";"T42c.TOTAL";"T42d.TOTAL";"T51.TOTAL";"T52.TOTAL";"T61.TOTAL";"T62TOTAL";"T71.TOTAL";"T72TOTAL";"T81.TOTAL";"T82.TOTAL";"T83.TOTAL";"T84.TOTAL";"T85.TOTAL";"T86.TOTAL";"T87.TOTAL";"T88.TOTAL";"T89.TOTAL";"T91.Total";"T92.Total";"T111.TOTAL";"T112.TOTAL";"T113.TOTAL";"annee.scolaire"
"8-2011-001";NA;"P1";"MS-8";NA;"F";NA;NA;2011-05-05;2016-01-19;"4 ans 8 mois 14 jours";4,70884551153941;4;"20";1;1;1;1;1;"0";"0";"1";"1";0;0;1;0;1;1;1;1;1;"0";1;1;1;1;1;1;1;1;1;"1";"1";NA;NA;NA;"15/16"
"8-2011-002";NA;"P1";"MS-8";NA;"M";NA;NA;2011-04-05;2016-01-19;"4 ans 9 mois 14 jours";4,79097653790347;4;"3";1;0;NA;1;0;"0";"1";"1";"1";0;0;0;1;0;NA;1;1;0;"1";1;1;1;1;1;1;0;0;1;"1";"1";NA;NA;NA;"15/16"
"8-2011-003";NA;"P1";"MS-8";NA;"F";NA;NA;2011-10-16;2016-01-25;"4 ans 3 mois 9 jours";4,2762887726887;4;"17";1;1;1;1;0;"1";"0";"0";"1";NA;NA;NA;NA;0;NA;1;1;1;"0";1;1;1;1;1;1;1;1;1;"1";"1";NA;NA;NA;"15/16"
"8-2011-004";NA;"P1";"MS-8";NA;"M";NA;NA;2011-11-15;2016-01-25;"4 ans 2 mois 10 jours";4,19415774632464;4;"5";1;0;NA;1;0;"0";"0";"1";"0";NA;NA;NA;NA;0;NA;1;1;0;"0";1;0;0;1;0;0;0;0;0;"0";"0";NA;NA;NA;"15/16"
"8-2011-005";NA;"P1";"MS-8";NA;"F";NA;NA;2011-03-04;2016-01-25;"4 ans 10 mois 21 jours";4,89500917129794;4;"3";1;1;1;1;0;"0";"1";"1";"1";1;0;0;0;0;NA;1;1;0;"0";1;1;1;1;0;0;1;1;0;"0";"1";NA;NA;NA;"15/16"
"8-2011-006";NA;"P1";"MS-8";NA;"F";NA;NA;2011-09-11;2016-01-25;"4 ans 4 mois 14 jours";4,37210830344677;4;"10";0;NA;NA;1;0;"1";"0";"1";"1";0;0;NA;NA;0;NA;0;NA;0;"1";0;0;0;0;0;0;0;1;0;"0";"1";NA;NA;NA;"15/16"
"8-2011-007";NA;"P1";"MS-8";NA;"M";NA;NA;2011-07-04;2016-01-25;"4 ans 6 mois 21 jours";4,5610096640841;4;"7";1;1;0;1;1;"0";"0";"1";"1";1;0;0;1;1;NA;1;1;0;"1";1;1;1;1;1;1;0;0;1;"0";"0";NA;NA;NA;"15/16"
"8-2011-008";NA;"P1";"MS-8";NA;"M";NA;NA;2010-11-27;2016-01-25;"5 ans 1 mois 29 jours";5,16056615654174;5;"4";1;0;NA;0;NA;"0";"0";"0";"0";NA;NA;NA;NA;0;NA;1;0;0;"1";0;0;0;0;0;0;0;0;0;"1";"1";NA;NA;NA;"15/16"
"8-2011-009";NA;"P1";"MS-8";NA;"F";NA;NA;2011-02-17;2016-01-25;"4 ans 11 mois 8 jours";4,93607468447997;4;"10";1;0;NA;1;1;"1";"0";"1";"1";1;0;0;0;0;NA;1;0;1;"0";1;1;1;1;1;1;1;1;1;"0";"1";NA;NA;NA;"15/16"
"8-2011-010";NA;"P1";"MS-8";NA;"F";NA;NA;2011-07-15;2016-01-26;"4 ans 6 mois 11 jours";4,53363265529608;4;"5";1;0;NA;1;0;"1";"1";"1";"0";1;1;1;0;0;NA;1;1;1;"0";1;1;1;1;1;1;1;1;1;"0";"1";NA;NA;NA;"15/16"
"8-2011-011";NA;"P1";"MS-8";NA;"F";NA;NA;2011-08-11;2016-01-26;"4 ans 5 mois 15 jours";4,45971473156843;4;"11";1;0;NA;0;NA;"0";"0";"0";"0";NA;NA;NA;NA;0;NA;1;0;0;"0";1;1;1;1;1;0;1;0;1;"0";"1";NA;NA;NA;"15/16"
"8-2011-012";NA;"P1";"MS-8";NA;"M";NA;NA;2011-08-13;2016-01-26;"4 ans 5 mois 13 jours";4,45423932981083;4;"13";1;1;0;1;1;"1";"0";"0";"0";NA;NA;NA;NA;0;NA;1;1;1;"0";1;1;1;1;1;1;0;1;0;"0";"1";NA;NA;NA;"15/16"
"8-2011-013";NA;"P1";"MS-8";NA;"M";NA;NA;2011-10-10;2016-01-26;"4 ans 3 mois 16 jours";4,29545267884031;4;"30";1;1;1;1;1;"0";"0";"1";"0";NA;NA;NA;NA;0;NA;0;0;0;"0";1;1;1;1;1;1;1;1;1;"0";"1";NA;NA;NA;"15/16"
"8-2011-014";NA;"P1";"MS-8";NA;"M";NA;NA;2011-08-02;2016-01-26;"4 ans 5 mois 24 jours";4,48435403947765;4;"5";1;0;NA;0;NA;"0";"0";"1";"0";NA;NA;NA;NA;0;NA;1;0;0;"1";1;0;1;0;1;0;0;0;0;"0";"0";NA;NA;NA;"15/16"
"8-2011-015";NA;"P1";"MS-8";NA;"F";NA;NA;2011-03-31;2016-01-26;"4 ans 9 mois 26 jours";4,82382894844909;4;"7";1;1;0;1;1;"0";"0";"1";"1";0;0;0;0;0;NA;1;1;0;"0";1;1;1;0;0;1;0;0;0;"0";"1";NA;NA;NA;"15/16"
"8-2011-016";NA;"P1";"MS-8";NA;"M";NA;NA;2011-01-13;2016-01-26;"5 ans 0 mois 13 jours";5,03463191611685;5;"10";1;0;NA;1;0;"1";"1";"0";"1";1;1;0;0;0;NA;1;0;1;"1";1;1;1;1;1;1;1;1;1;"1";"0";NA;NA;NA;"15/16"
"8-2011-018";NA;"P1";"MS-8";NA;"M";NA;NA;2011-09-21;2016-01-26;"4 ans 4 mois 5 jours";4,34746899553755;4;"3";1;0;NA;1;0;"0";"0";"1";"1";NA;NA;NA;NA;0;NA;1;1;0;"0";0;0;0;0;0;0;0;0;0;"0";"0";NA;NA;NA;"15/16"
"8-2011-019";NA;"P1";"MS-8";NA;"F";NA;NA;2011-03-10;2016-01-26;"4 ans 10 mois 16 jours";4,88132066690393;4;"10";1;0;NA;1;0;"0";"1";"1";"0";NA;NA;NA;NA;0;NA;1;1;0;"0";1;1;1;1;1;0;1;1;1;"0";"1";NA;NA;NA;"15/16"
"8-2011-020";NA;"P1";"MS-8";NA;"M";NA;NA;2011-06-23;2016-01-28;"4 ans 7 mois 5 jours";4,59933747638733;4;"4";1;0;NA;1;0;"0";"0";"0";"0";NA;NA;NA;NA;0;NA;1;1;0;"0";1;1;1;0;0;0;0;0;0;"0";"1";NA;NA;NA;"15/16"
"8-2011-021";NA;"P1";"MS-8";NA;"M";NA;NA;2011-10-02;2016-01-28;"4 ans 3 mois 26 jours";4,32282968762833;4;"6";0;NA;NA;0;NA;"1";"0";"1";"1";0;0;0;1;0;NA;1;1;0;"0";1;0;1;0;0;0;0;0;0;"0";"0";NA;NA;NA;"15/16"
"8-2011-022";NA;"P1";"MS-8";NA;"F";NA;NA;2011-06-05;2016-01-28;"4 ans 7 mois 23 jours";4,64861609220577;4;"3";1;0;NA;1;0;"0";"0";"0";"0";NA;NA;NA;NA;0;NA;1;1;1;"0";1;1;1;1;1;1;1;1;1;"1";"1";NA;NA;NA;"15/16"
"8-2011-023";NA;"P1";"MS-8";NA;"M";NA;NA;2011-07-02;2016-01-28;"4 ans 6 mois 26 jours";4,57469816847811;4;"10";1;1;1;1;1;"0";"0";"1";"1";1;1;0;0;0;NA;1;1;0;"0";1;1;1;1;1;1;1;1;1;"1";"1";NA;NA;NA;"15/16"
"8-2011-024";NA;"P1";"MS-8";NA;"M";NA;NA;2011-01-03;2016-01-28;"5 ans 0 mois 25 jours";5,06748432666247;5;"20";1;0;NA;1;0;"1";"0";"1";"0";1;1;0;1;0;NA;1;1;1;"1";1;1;1;1;1;1;1;1;1;"1";"1";NA;NA;NA;"15/16"
"8-2011-025";NA;"P1";"MS-8";NA;"F";NA;NA;2011-11-05;2016-01-28;"4 ans 2 mois 23 jours";4,22974785774906;4;"14";1;0;NA;0;NA;"1";"1";"1";"1";0;0;0;0;1;0;1;1;1;"0";1;1;1;1;0;0;0;0;0;"0";"1";NA;NA;NA;"15/16"
"8-2011-026";NA;"P1";"MS-8";NA;"F";NA;NA;2011-10-09;2016-02-02;"4 ans 3 mois 24 jours";4,31735428587073;4;"13";1;1;0;0;NA;"0";"0";"1";"1";1;0;NA;NA;0;NA;1;1;1;"0";1;1;1;0;0;0;0;0;0;"0";"1";NA;NA;NA;"15/16"
"8-2011-027";NA;"P1";"MS-8";NA;"F";NA;NA;2011-08-13;2016-01-28;"4 ans 5 mois 15 jours";4,45971473156843;4;"5";1;0;NA;0;NA;"0";"0";"0";"0";NA;NA;NA;NA;0;NA;1;1;0;"1";1;1;0;1;0;0;0;0;0;"0";"0";NA;NA;NA;"15/16"
"5-2011-028";NA;"P1";"MS-5";NA;"F";NA;NA;2011-02-23;2016-01-20;"4 ans 10 mois 28 jours";4,90595997481315;4;"15";1;1;0;0;0;"0";"0";"1";"0";NA;NA;NA;NA;0;NA;1;0;0;"0";1;1;1;0;1;0;0;0;0;"1";"1";NA;NA;NA;"15/16"
"5-2011-029";NA;"P1";"MS-5";NA;"F";NA;NA;2011-09-04;2016-01-20;"4 ans 4 mois 16 jours";4,37758370520437;4;"9";1;0;NA;0;NA;"1";"1";"0";"0";0;0;1;0;0;NA;1;1;0;"0";1;1;1;0;1;0;0;0;0;"0";"0";NA;NA;NA;"15/16"
"5-2011-031";NA;"P1";"MS-5";NA;"F";NA;NA;2011-03-17;2016-01-20;"4 ans 10 mois 3 jours";4,84573055547951;4;"3";1;1;1;1;0;"1";"1";"0";"1";0;0;1;0;0;NA;1;1;0;"0";1;1;1;1;1;1;0;0;0;"1";"1";NA;NA;NA;"15/16"
"5-2011-032";NA;"P1";"MS-5";NA;"F";NA;NA;2011-04-26;2016-01-20;"4 ans 8 mois 25 jours";4,73622252032743;4;"4";1;0;NA;0;NA;"0";"0";"1";"1";0;NA;NA;NA;0;NA;1;1;1;"1";1;1;1;0;1;0;0;0;0;"0";"1";NA;NA;NA;"15/16"
"5-2011-033";NA;"P1";"MS-5";NA;"M";NA;NA;2011-09-01;2016-01-20;"4 ans 4 mois 19 jours";4,38579680784078;4;"10";1;1;0;1;1;"0";"0";"1";"1";0;0;1;0;0;NA;1;1;1;"1";1;1;1;1;1;1;1;1;1;"0";"1";NA;NA;NA;"15/16"
"5-2011-034";NA;"P1";"MS-5";NA;"M";NA;NA;2011-08-31;2016-01-21;"4 ans 4 mois 21 jours";4,39127220959838;4;"14";1;1;0;0;NA;"0";"0";"0";"0";NA;NA;NA;NA;0;NA;1;1;1;"0";1;1;1;1;1;1;1;1;1;"0";"1";NA;NA;NA;"15/16"
"5-2011-035";NA;"P1";"MS-5";NA;"M";NA;NA;2011-01-06;2016-01-20;"5 ans 0 mois 14 jours";5,03736961699565;5;"0";0;NA;NA;0;NA;"0";"0";"1";"0";NA;NA;NA;NA;0;NA;0;NA;0;"0";1;1;1;0;0;0;0;0;0;"1";"0";NA;NA;NA;"15/16"
"5-2011-036";NA;"P1";"MS-5";NA;"M";NA;NA;2011-01-13;2016-01-20;"5 ans 0 mois 7 jours";5,01820571084403;5;"10";1;1;1;1;0;"0";"0";"1";"0";0;0;0;1;1;0;1;1;0;"0";1;1;1;1;1;1;1;1;1;"0";"1";NA;NA;NA;"15/16"
"5-2011-037";NA;"P1";"MS-5";NA;"F";NA;NA;2011-04-20;2016-01-20;"4 ans 9 mois 0 jours";4,75264872560024;4;"5";1;1;1;1;0;"1";"1";"1";"1";1;1;1;1;1;0;1;0;0;"0";1;1;1;0;0;0;0;0;0;"0";"1";NA;NA;NA;"15/16"
"5-2011-038";NA;"P1";"MS-5";NA;"M";NA;NA;2011-02-21;2016-01-20;"4 ans 10 mois 30 jours";4,91143537657076;4;"30";1;0;NA;1;1;"1";"1";"1";"0";1;1;0;0;0;NA;1;1;0;"0";1;1;1;1;1;1;1;1;1;"0";"1";NA;NA;NA;"15/16"
"1-2011-039";NA;"P1";"MS-1";NA;"F";NA;NA;2011-11-02;2016-01-19;"4 ans 2 mois 17 jours";4,21332165247625;4;"2";1;0;NA;0;NA;"0";"1";"0";"0";NA;NA;NA;NA;0;NA;1;1;1;"0";1;0;1;0;0;0;0;0;0;"0";"0";NA;NA;NA;"15/16"
"1-2011-040";NA;"P1";"MS-1";NA;"M";NA;NA;2011-05-22;2016-01-18;"4 ans 7 mois 27 jours";4,65956689572097;4;"30";1;1;1;1;1;"0";"0";"1";"1";1;1;0;0;1;0;1;0;1;"1";1;1;1;1;1;1;1;1;1;"1";"1";NA;NA;NA;"15/16"
"1-2011-042";NA;"P1";"MS-1";NA;"F";NA;NA;2011-02-25;2016-01-18;"4 ans 10 mois 24 jours";4,89500917129794;4;"20";1;1;1;1;1;"1";"0";"1";"1";1;1;1;1;0;NA;1;1;1;"1";1;1;1;1;1;1;1;1;1;"1";"1";NA;NA;NA;"15/16"
"1-2011-043";NA;"P1";"MS-1";NA;"F";NA;NA;2011-09-09;2016-01-19;"4 ans 4 mois 10 jours";4,36115749993156;4;"10";1;1;1;1;1;"1";"1";"0";"1";0;NA;NA;NA;1;0;1;1;1;"0";1;1;1;1;1;1;1;1;1;"1";"1";NA;NA;NA;"15/16"
"1-2011-044";NA;"P1";"MS-1";NA;"M";NA;NA;2011-04-22;2016-01-18;"4 ans 8 mois 27 jours";4,74169792208503;4;"4";1;0;NA;1;0;"1";"1";"1";"1";0;0;0;0;1;1;1;1;1;"1";1;1;1;1;1;1;1;1;1;"1";"1";NA;NA;NA;"15/16"
"1-2011-046";NA;"P1";"MS-1";NA;"F";NA;NA;2011-08-14;2016-01-18;"4 ans 5 mois 4 jours";4,42960002190161;4;"10";1;0;NA;1;1;"1";"1";"1";"1";1;1;1;1;0;0;1;1;1;"1";1;1;1;1;1;1;1;1;1;"1";"1";NA;NA;NA;"15/16"
"1-2011-047";NA;"P1";"MS-1";NA;"M";NA;NA;2011-01-13;2016-01-18;"5 ans 0 mois 5 jours";5,01273030908643;5;"5";1;1;0;0;NA;"0";"1";"1";"0";0;0;NA;NA;1;0;1;0;1;"1";1;0;0;1;0;0;1;1;0;"0";"1";NA;NA;NA;"15/16"
"1-2011-048";NA;"P1";"MS-1";NA;"M";NA;NA;2011-08-03;2016-01-21;"4 ans 5 mois 18 jours";4,46792783420484;4;"7";1;1;0;1;0;"0";"0";"0";"0";NA;NA;NA;NA;1;0;1;1;0;"0";1;1;1;1;1;0;0;0;0;"0";"1";NA;NA;NA;"15/16"
"1-2011-049";NA;"P1";"MS-1";NA;"M";NA;NA;2011-11-28;2016-01-19;"4 ans 1 mois 22 jours";4,1421414296274;4;"3";1;0;NA;0;NA;"0";"1";"0";"1";NA;NA;NA;NA;0;NA;1;0;0;"0";0;0;0;0;0;0;0;0;0;"0";"0";NA;NA;NA;"15/16"
"1-2011-050";NA;"P1";"MS-1";NA;"M";NA;NA;2011-03-05;2016-01-19;"4 ans 10 mois 14 jours";4,87584526514633;4;"11";1;0;NA;0;NA;"1";"1";"0";"0";1;1;0;0;0;NA;1;1;0;"0";1;1;1;1;1;1;1;1;1;"0";"1";NA;NA;NA;"15/16"
"6-2011-051";NA;"P2";"MS-6";NA;"M";NA;NA;2011-05-02;2016-01-22;"4 ans 8 mois 20 jours";4,72527171681222;4;"12";1;1;1;1;1;"0";"0";"0";"0";NA;NA;NA;NA;0;NA;1;1;1;"0";1;1;1;1;1;1;1;1;0;"0";"1";NA;NA;NA;"15/16"
"6-2011-052";NA;"P2";"MS-6";NA;"M";NA;NA;2011-02-17;2016-01-22;"4 ans 11 mois 5 jours";4,92786158184357;4;"10";1;1;1;1;0;"1";"1";"0";"0";1;0;0;1;1;0;1;1;0;"1";1;1;1;1;1;1;1;1;1;"1";"1";NA;NA;NA;"15/16"
"6-2011-053";NA;"P2";"MS-6";NA;"M";NA;NA;2011-04-03;2016-02-02;"4 ans 9 mois 30 jours";4,8347797519643;4;"27";1;1;0;1;1;"1";"1";"1";"1";1;1;1;1;0;NA;1;0;1;"1";1;1;1;1;1;1;1;1;1;"1";"1";NA;NA;NA;"15/16"
"6-2011-054";NA;"P2";"MS-6";NA;"F";NA;NA;2011-08-16;2016-01-25;"4 ans 5 mois 9 jours";4,44328852629562;4;"4";1;0;NA;0;NA;"0";"1";"1";"0";NA;NA;NA;NA;0;NA;1;1;1;"0";1;0;1;0;0;0;0;0;0;"0";"0";NA;NA;NA;"15/16"
"6-2011-055";NA;"P2";"MS-6";NA;"M";NA;NA;2011-04-13;2016-01-25;"4 ans 9 mois 12 jours";4,78550113614587;4;"5";1;1;0;0;NA;"0";"1";"1";"0";NA;NA;NA;NA;0;NA;1;1;0;"0";1;1;1;1;1;0;1;1;0;"0";"1";NA;NA;NA;"15/16"
"4-2011-057";NA;"P2";"MS-4";NA;"M";NA;NA;2011-05-13;2016-01-21;"4 ans 8 mois 8 jours";4,6924193062666;4;"10";1;0;NA;1;0;"0";"0";"0";"0";NA;NA;NA;NA;0;NA;1;0;0;"0";1;1;1;1;1;1;1;1;1;"0";"1";NA;NA;NA;"15/16"
