"T1";"T2";"T3";"T41";"T42";"T5";"T61";"T62";"T71";"T72";"T8"
20;3;2;"0011";"0010";2;1;1;1;0;9
3;1;1;"0111";"0001";0;1;1;0;1;7
17;3;1;"1001";"0000";0;1;1;1;0;9
5;1;1;"0010";"0000";0;1;1;0;0;2
3;3;1;"0111";"1000";0;1;1;0;0;6
10;0;1;"1011";"0000";0;0;0;0;1;1
7;2;2;"0011";"1001";1;1;1;0;1;7
4;1;0;"0000";"0000";0;1;0;0;1;0
10;1;2;"1011";"1000";0;1;0;1;0;9
5;1;1;"1110";"1110";0;1;1;1;0;9
11;1;0;"0000";"0000";0;1;0;0;0;7
13;2;2;"1000";"0000";0;1;1;1;0;7
30;3;2;"0010";"0000";0;0;0;0;0;9
5;1;0;"0010";"0000";0;1;0;0;1;3
7;2;2;"0011";"0000";0;1;1;0;0;4
10;1;1;"1101";"1100";0;1;0;1;1;9
3;1;1;"0011";"0000";0;1;1;0;0;0
10;1;1;"0110";"0000";0;1;1;0;0;8
4;1;1;"0000";"0000";0;1;1;0;0;3
6;0;0;"1011";"0001";0;1;1;0;0;2
3;1;1;"0000";"0000";0;1;1;1;0;9
10;3;2;"0011";"1100";0;1;1;0;0;9
20;1;1;"1010";"1101";0;1;1;1;1;9
14;1;0;"1111";"0000";1;1;1;1;0;4
13;2;0;"0011";"1000";0;1;1;1;0;3
5;1;0;"0000";"0000";0;1;1;0;1;3
15;2;0;"0010";"0000";0;1;0;0;0;4
9;1;0;"1100";"0010";0;1;1;0;0;4
3;3;1;"1101";"0010";0;1;1;0;0;6
4;1;0;"0011";"0000";0;1;1;1;1;4
10;2;2;"0011";"0010";0;1;1;1;1;9
14;2;0;"0000";"0000";0;1;1;1;0;9
0;0;0;"0010";"0000";0;0;0;0;0;3
10;3;1;"0010";"0001";1;1;1;0;0;9
5;3;1;"1111";"1111";1;1;0;0;0;3
30;1;2;"1110";"1100";0;1;1;0;0;9
2;1;0;"0100";"0000";0;1;1;1;0;2
30;3;2;"0011";"1100";1;1;0;1;1;9
20;3;2;"1011";"1111";0;1;1;1;1;9
10;3;2;"1101";"0000";1;1;1;1;0;9
4;1;1;"1111";"0000";2;1;1;1;1;9
10;1;2;"1111";"1111";0;1;1;1;1;9
5;2;0;"0110";"0000";1;1;0;1;1;4
7;2;1;"0000";"0000";1;1;1;0;0;5
3;1;0;"0101";"0000";0;1;0;0;0;0
11;1;0;"1100";"1100";0;1;1;0;0;9
12;3;2;"0000";"0000";0;1;1;1;0;8
10;3;1;"1100";"1001";1;1;1;0;1;9
27;2;2;"1111";"1111";0;1;0;1;1;9
4;1;0;"0110";"0000";0;1;1;1;0;2
5;2;0;"0110";"0000";0;1;1;0;0;7
10;1;1;"0000";"0000";0;1;0;0;0;9
10;3;2;"1111";"1111";2;1;0;1;0;9
10;3;1;"0001";"0000";0;1;0;0;0;9
3;0;0;"0010";"0000";0;0;0;0;0;1
11;0;0;"0001";"0000";0;0;1;0;0;2
8;2;1;"0011";"0000";0;1;0;0;1;9
5;0;0;"1100";"0000";0;1;1;0;0;2
20;3;2;"1010";"1011";1;1;1;1;0;9
3;1;0;"0111";"0000";0;1;1;0;0;2
5;1;1;"1100";"0010";0;1;1;0;1;4
9;0;1;"0001";"0000";0;1;1;0;0;9
3;1;0;"0111";"1000";0;0;0;0;0;4
3;0;0;"0001";"0000";0;0;0;0;0;4
10;2;0;"1001";"0000";1;1;1;0;1;9
10;2;1;"0000";"0000";0;1;1;1;0;2
50;1;2;"1111";"1111";0;1;0;1;0;9
10;2;2;"1101";"1101";0;1;1;1;0;9
39;3;2;"1011";"1111";0;1;1;1;1;9
16;0;0;"0000";"0000";0;1;0;0;1;4
15;3;2;"0000";"0000";1;1;1;1;0;9
13;1;0;"0000";"0000";0;1;1;1;0;9
15;1;1;"0001";"0000";0;1;0;0;0;4
19;1;1;"1101";"1001";0;1;1;0;0;9
4;1;0;"1101";"0000";0;1;1;0;0;5
14;2;1;"0111";"1001";0;1;1;0;0;8
5;2;0;"0001";"0000";0;1;1;0;0;6
28;3;2;"1101";"0000";0;1;1;1;0;8
