"T1";"T2";"T3";"T41";"T42";"T5";"T61";"T62";"T71";"T72";"T81";"T82";"T83";"T84";"T85";"T86";"T87";"T88";"T89"
20;"111";"11";"0011";"0010";"11";"1";"1";"1";"0";"1";"1";"1";"1";"1";"1";"1";"1";"1"
3;"100";"10";"0111";"0001";"00";"1";"1";"0";"1";"1";"1";"1";"1";"1";"1";"0";"0";"1"
17;"111";"10";"1001";"0000";"00";"1";"1";"1";"0";"1";"1";"1";"1";"1";"1";"1";"1";"1"
5;"100";"10";"0010";"0000";"00";"1";"1";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0"
3;"111";"10";"0111";"1000";"00";"1";"1";"0";"0";"1";"1";"1";"1";"0";"0";"1";"1";"0"
10;"000";"10";"1011";"0000";"00";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0"
7;"110";"11";"0011";"1001";"10";"1";"1";"0";"1";"1";"1";"1";"1";"1";"1";"0";"0";"1"
4;"100";"00";"0000";"0000";"00";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
10;"100";"11";"1011";"1000";"00";"1";"0";"1";"0";"1";"1";"1";"1";"1";"1";"1";"1";"1"
5;"100";"10";"1110";"1110";"00";"1";"1";"1";"0";"1";"1";"1";"1";"1";"1";"1";"1";"1"
11;"100";"00";"0000";"0000";"00";"1";"0";"0";"0";"1";"1";"1";"1";"1";"0";"1";"0";"1"
13;"110";"11";"1000";"0000";"00";"1";"1";"1";"0";"1";"1";"1";"1";"1";"1";"0";"1";"0"
30;"111";"11";"0010";"0000";"00";"0";"0";"0";"0";"1";"1";"1";"1";"1";"1";"1";"1";"1"
5;"100";"00";"0010";"0000";"00";"1";"0";"0";"1";"1";"0";"1";"0";"1";"0";"0";"0";"0"
7;"110";"11";"0011";"0000";"00";"1";"1";"0";"0";"1";"1";"1";"0";"0";"1";"0";"0";"0"
10;"100";"10";"1101";"1100";"00";"1";"0";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
3;"100";"10";"0011";"0000";"00";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
10;"100";"10";"0110";"0000";"00";"1";"1";"0";"0";"1";"1";"1";"1";"1";"0";"1";"1";"1"
4;"100";"10";"0000";"0000";"00";"1";"1";"0";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0"
6;"000";"00";"1011";"0001";"00";"1";"1";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0"
3;"100";"10";"0000";"0000";"00";"1";"1";"1";"0";"1";"1";"1";"1";"1";"1";"1";"1";"1"
