"T1";"T2";"T3";"T41";"T42";"T5";"T61";"T62";"T71";"T72";"T8"
20;"111";"11";"0011";"0010";"11";"1";"1";"1";"0";"111111111"
3;"100";"10";"0111";"0001";"00";"1";"1";"0";"1";"111111001"
17;"111";"10";"1001";"0000";"00";"1";"1";"1";"0";"111111111"
5;"100";"10";"0010";"0000";"00";"1";"1";"0";"0";"100100000"
3;"111";"10";"0111";"1000";"00";"1";"1";"0";"0";"111100110"
10;"000";"10";"1011";"0000";"00";"0";"0";"0";"1";"000000010"
7;"110";"11";"0011";"1001";"10";"1";"1";"0";"1";"111111001"
4;"100";"00";"0000";"0000";"00";"1";"0";"0";"1";"000000000"
10;"100";"11";"1011";"1000";"00";"1";"0";"1";"0";"111111111"
5;"100";"10";"1110";"1110";"00";"1";"1";"1";"0";"111111111"
11;"100";"00";"0000";"0000";"00";"1";"0";"0";"0";"111110101"
13;"110";"11";"1000";"0000";"00";"1";"1";"1";"0";"111111010"
30;"111";"11";"0010";"0000";"00";"0";"0";"0";"0";"111111111"
5;"100";"00";"0010";"0000";"00";"1";"0";"0";"1";"101010000"
7;"110";"11";"0011";"0000";"00";"1";"1";"0";"0";"111001000"
10;"100";"10";"1101";"1100";"00";"1";"0";"1";"1";"111111111"
3;"100";"10";"0011";"0000";"00";"1";"1";"0";"0";"000000000"
10;"100";"10";"0110";"0000";"00";"1";"1";"0";"0";"111110111"
4;"100";"10";"0000";"0000";"00";"1";"1";"0";"0";"111000000"
6;"000";"00";"1011";"0001";"00";"1";"1";"0";"0";"101000000"
3;"100";"10";"0000";"0000";"00";"1";"1";"1";"0";"111111111"
10;"111";"11";"0011";"1100";"00";"1";"1";"0";"0";"111111111"
20;"100";"10";"1010";"1101";"00";"1";"1";"1";"1";"111111111"
14;"100";"00";"1111";"0000";"10";"1";"1";"1";"0";"111100000"
13;"110";"00";"0011";"1000";"00";"1";"1";"1";"0";"111000000"
5;"100";"00";"0000";"0000";"00";"1";"1";"0";"1";"110100000"
15;"110";"00";"0010";"0000";"00";"1";"0";"0";"0";"111010000"
9;"100";"00";"1100";"0010";"00";"1";"1";"0";"0";"111010000"
3;"111";"10";"1101";"0010";"00";"1";"1";"0";"0";"111111000"
4;"100";"00";"0011";"0000";"00";"1";"1";"1";"1";"111010000"
10;"110";"11";"0011";"0010";"00";"1";"1";"1";"1";"111111111"
14;"110";"00";"0000";"0000";"00";"1";"1";"1";"0";"111111111"
0;"000";"00";"0010";"0000";"00";"0";"0";"0";"0";"111000000"
10;"111";"10";"0010";"0001";"10";"1";"1";"0";"0";"111111111"
5;"111";"10";"1111";"1111";"10";"1";"0";"0";"0";"111000000"
