"T1";"T21";"T22";"T23";"T31";"T32";"T41";"T42";"T51";"T52";"T61";"T62";"T71";"T72";"T81";"T82";"T83";"T84";"T85";"T86";"T87";"T88";"T89"
20;"1";"1";"1";"1";"1";"0011";"0010";"1";"1";"1";"1";"1";"0";"1";"1";"1";"1";"1";"1";"1";"1";"1"
3;"1";"0";"0";"1";"0";"0111";"0001";"0";"0";"1";"1";"0";"1";"1";"1";"1";"1";"1";"1";"0";"0";"1"
17;"1";"1";"1";"1";"0";"1001";"0000";"0";"0";"1";"1";"1";"0";"1";"1";"1";"1";"1";"1";"1";"1";"1"
5;"1";"0";"0";"1";"0";"0010";"0000";"0";"0";"1";"1";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0"
3;"1";"1";"1";"1";"0";"0111";"1000";"0";"0";"1";"1";"0";"0";"1";"1";"1";"1";"0";"0";"1";"1";"0"
10;"0";"0";"0";"1";"0";"1011";"0000";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0"
7;"1";"1";"0";"1";"1";"0011";"1001";"1";"0";"1";"1";"0";"1";"1";"1";"1";"1";"1";"1";"0";"0";"1"
4;"1";"0";"0";"0";"0";"0000";"0000";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
10;"1";"0";"0";"1";"1";"1011";"1000";"0";"0";"1";"0";"1";"0";"1";"1";"1";"1";"1";"1";"1";"1";"1"
5;"1";"0";"0";"1";"0";"1110";"1110";"0";"0";"1";"1";"1";"0";"1";"1";"1";"1";"1";"1";"1";"1";"1"
11;"1";"0";"0";"0";"0";"0000";"0000";"0";"0";"1";"0";"0";"0";"1";"1";"1";"1";"1";"0";"1";"0";"1"
13;"1";"1";"0";"1";"1";"1000";"0000";"0";"0";"1";"1";"1";"0";"1";"1";"1";"1";"1";"1";"0";"1";"0"
30;"1";"1";"1";"1";"1";"0010";"0000";"0";"0";"0";"0";"0";"0";"1";"1";"1";"1";"1";"1";"1";"1";"1"
5;"1";"0";"0";"0";"0";"0010";"0000";"0";"0";"1";"0";"0";"1";"1";"0";"1";"0";"1";"0";"0";"0";"0"
7;"1";"1";"0";"1";"1";"0011";"0000";"0";"0";"1";"1";"0";"0";"1";"1";"1";"0";"0";"1";"0";"0";"0"
10;"1";"0";"0";"1";"0";"1101";"1100";"0";"0";"1";"0";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
3;"1";"0";"0";"1";"0";"0011";"0000";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
